Year,Month,Value,city,month_date,treated,time
2021,Apr,5.3,Dallas,2021-04-01,0,0
2021,May,5.1,Dallas,2021-05-01,0,0
2021,Jun,5.7,Dallas,2021-06-01,0,0
2021,Jul,5.2,Dallas,2021-07-01,0,0
2021,Aug,4.8,Dallas,2021-08-01,0,0
2021,Sep,4.5,Dallas,2021-09-01,0,0
2021,Oct,4.2,Dallas,2021-10-01,0,0
2021,Nov,3.9,Dallas,2021-11-01,0,0
2021,Dec,3.6,Dallas,2021-12-01,0,0
2022,Jan,4.1,Dallas,2022-01-01,0,1
2022,Feb,3.9,Dallas,2022-02-01,0,1
2022,Mar,3.4,Dallas,2022-03-01,0,1
2022,Apr,3.2,Dallas,2022-04-01,0,1
2022,May,3.3,Dallas,2022-05-01,0,1
2022,Jun,3.8,Dallas,2022-06-01,0,1
2022,Jul,3.7,Dallas,2022-07-01,0,1
2022,Aug,3.6,Dallas,2022-08-01,0,1
2022,Sep,3.5,Dallas,2022-09-01,0,1
2022,Oct,3.5,Dallas,2022-10-01,0,1
2022,Nov,3.5,Dallas,2022-11-01,0,1
2022,Dec,3.4,Dallas,2022-12-01,0,1
2023,Jan,3.9,Dallas,2023-01-01,0,1
2023,Feb,4.1,Dallas,2023-02-01,0,1
2023,Mar,3.8,Dallas,2023-03-01,0,1
2023,Apr,3.4,Dallas,2023-04-01,0,1
2023,May,3.7,Dallas,2023-05-01,0,1
2023,Jun,4,Dallas,2023-06-01,0,1
2023,Jul,4,Dallas,2023-07-01,0,1
2023,Aug,4.1,Dallas,2023-08-01,0,1
2023,Sep,3.9,Dallas,2023-09-01,0,1
2023,Oct,3.7,Dallas,2023-10-01,0,1
2023,Nov,3.5,Dallas,2023-11-01,0,1
2023,Dec,3.5,Dallas,2023-12-01,0,1
2024,Jan,3.9,Dallas,2024-01-01,0,1
2024,Feb,4.1,Dallas,2024-02-01,0,1
2024,Mar,3.8,Dallas,2024-03-01,0,1
2024,Apr,3.5,Dallas,2024-04-01,0,1
2024,May,3.7,Dallas,2024-05-01,0,1
2024,Jun,4.3,Dallas,2024-06-01,0,1
2024,Jul,4.3,Dallas,2024-07-01,0,1
2024,Aug,4.2,Dallas,2024-08-01,0,1
2024,Sep,3.9,Dallas,2024-09-01,0,1
2024,Oct,3.9,Dallas,2024-10-01,0,1
2024,Nov,3.9,Dallas,2024-11-01,0,1
2024,Dec,3.5,Dallas,2024-12-01,0,1
2025,Jan,3.9,Dallas,2025-01-01,0,1
2020,Nov,7.7,El Paso,2020-11-01,0,0
2020,Dec,7.3,El Paso,2020-12-01,0,0
2021,Jan,7.6,El Paso,2021-01-01,0,0
2021,Feb,7.3,El Paso,2021-02-01,0,0
2021,Mar,6.8,El Paso,2021-03-01,0,0
2021,Apr,6.3,El Paso,2021-04-01,0,0
2021,May,6,El Paso,2021-05-01,0,0
2021,Jun,6.8,El Paso,2021-06-01,0,0
2021,Jul,6.1,El Paso,2021-07-01,0,0
2021,Aug,5.7,El Paso,2021-08-01,0,0
2021,Sep,5.2,El Paso,2021-09-01,0,0
2021,Oct,5,El Paso,2021-10-01,0,0
2021,Nov,4.6,El Paso,2021-11-01,0,0
2021,Dec,4.3,El Paso,2021-12-01,0,0
2022,Jan,4.9,El Paso,2022-01-01,0,1
2022,Feb,4.6,El Paso,2022-02-01,0,1
2022,Mar,4,El Paso,2022-03-01,0,1
2022,Apr,3.7,El Paso,2022-04-01,0,1
2022,May,3.9,El Paso,2022-05-01,0,1
2022,Jun,4.4,El Paso,2022-06-01,0,1
2022,Jul,4.2,El Paso,2022-07-01,0,1
2022,Aug,4.2,El Paso,2022-08-01,0,1
2022,Sep,4.1,El Paso,2022-09-01,0,1
2022,Oct,4.1,El Paso,2022-10-01,0,1
2022,Nov,4.1,El Paso,2022-11-01,0,1
2022,Dec,3.8,El Paso,2022-12-01,0,1
2023,Jan,4.5,El Paso,2023-01-01,0,1
2023,Feb,4.7,El Paso,2023-02-01,0,1
2023,Mar,4.3,El Paso,2023-03-01,0,1
2023,Apr,3.8,El Paso,2023-04-01,0,1
2023,May,4.1,El Paso,2023-05-01,0,1
2023,Jun,4.3,El Paso,2023-06-01,0,1
2023,Jul,4.6,El Paso,2023-07-01,0,1
2023,Aug,4.6,El Paso,2023-08-01,0,1
2023,Sep,4.3,El Paso,2023-09-01,0,1
2023,Oct,4.2,El Paso,2023-10-01,0,1
2023,Nov,3.9,El Paso,2023-11-01,0,1
2023,Dec,3.8,El Paso,2023-12-01,0,1
2024,Jan,4.3,El Paso,2024-01-01,0,1
2024,Feb,4.4,El Paso,2024-02-01,0,1
2024,Mar,4.1,El Paso,2024-03-01,0,1
2024,Apr,3.7,El Paso,2024-04-01,0,1
2024,May,3.9,El Paso,2024-05-01,0,1
2024,Jun,4.5,El Paso,2024-06-01,0,1
2024,Jul,4.5,El Paso,2024-07-01,0,1
2024,Aug,4.5,El Paso,2024-08-01,0,1
2024,Sep,4.1,El Paso,2024-09-01,0,1
2024,Oct,4.1,El Paso,2024-10-01,0,1
2024,Nov,4.2,El Paso,2024-11-01,0,1
2024,Dec,3.7,El Paso,2024-12-01,0,1
2025,Jan,4.2,El Paso,2025-01-01,0,1
2020,Nov,9.4,Farmington,2020-11-01,0,0
2020,Dec,9.7,Farmington,2020-12-01,0,0
2021,Jan,10.6,Farmington,2021-01-01,0,0
2021,Feb,10.4,Farmington,2021-02-01,0,0
2021,Mar,9.5,Farmington,2021-03-01,0,0
2021,Apr,9,Farmington,2021-04-01,0,0
2021,May,8.4,Farmington,2021-05-01,0,0
2021,Jun,10.3,Farmington,2021-06-01,0,0
2021,Jul,9.9,Farmington,2021-07-01,0,0
2021,Aug,8.2,Farmington,2021-08-01,0,0
2021,Sep,7.2,Farmington,2021-09-01,0,0
2021,Oct,6.7,Farmington,2021-10-01,0,0
2021,Nov,6.6,Farmington,2021-11-01,0,0
2021,Dec,6,Farmington,2021-12-01,0,0
2022,Jan,6.7,Farmington,2022-01-01,0,1
2022,Feb,5.9,Farmington,2022-02-01,0,1
2022,Mar,5.1,Farmington,2022-03-01,0,1
2022,Apr,4.7,Farmington,2022-04-01,0,1
2022,May,4.5,Farmington,2022-05-01,0,1
2022,Jun,5.8,Farmington,2022-06-01,0,1
2022,Jul,5.3,Farmington,2022-07-01,0,1
2022,Aug,4.2,Farmington,2022-08-01,0,1
2022,Sep,3.8,Farmington,2022-09-01,0,1
2022,Oct,3.7,Farmington,2022-10-01,0,1
2022,Nov,3.8,Farmington,2022-11-01,0,1
2022,Dec,3.6,Farmington,2022-12-01,0,1
2023,Jan,4.5,Farmington,2023-01-01,0,1
2023,Feb,4.4,Farmington,2023-02-01,0,1
2023,Mar,3.8,Farmington,2023-03-01,0,1
2023,Apr,3.6,Farmington,2023-04-01,0,1
2023,May,3.9,Farmington,2023-05-01,0,1
2023,Jun,5.1,Farmington,2023-06-01,0,1
2023,Jul,5.2,Farmington,2023-07-01,0,1
2023,Aug,4.4,Farmington,2023-08-01,0,1
2023,Sep,3.9,Farmington,2023-09-01,0,1
2023,Oct,3.9,Farmington,2023-10-01,0,1
2023,Nov,3.8,Farmington,2023-11-01,0,1
2023,Dec,3.7,Farmington,2023-12-01,0,1
2024,Jan,4.4,Farmington,2024-01-01,0,1
2024,Feb,4.5,Farmington,2024-02-01,0,1
2024,Mar,4,Farmington,2024-03-01,0,1
2024,Apr,3.9,Farmington,2024-04-01,0,1
2024,May,4.2,Farmington,2024-05-01,0,1
2024,Jun,5.8,Farmington,2024-06-01,0,1
2024,Jul,6.2,Farmington,2024-07-01,0,1
2024,Aug,5,Farmington,2024-08-01,0,1
2024,Sep,4.6,Farmington,2024-09-01,0,1
2024,Oct,4.5,Farmington,2024-10-01,0,1
2024,Nov,4.6,Farmington,2024-11-01,0,1
2024,Dec,4.2,Farmington,2024-12-01,0,1
2025,Jan,5.1,Farmington,2025-01-01,0,1
2020,Nov,5.9,Grand Junction,2020-11-01,0,0
2020,Dec,6.4,Grand Junction,2020-12-01,0,0
2021,Jan,7.3,Grand Junction,2021-01-01,0,0
2021,Feb,6.9,Grand Junction,2021-02-01,0,0
2021,Mar,6.7,Grand Junction,2021-03-01,0,0
2021,Apr,6.2,Grand Junction,2021-04-01,0,0
2021,May,5.9,Grand Junction,2021-05-01,0,0
2021,Jun,6.7,Grand Junction,2021-06-01,0,0
2021,Jul,6.2,Grand Junction,2021-07-01,0,0
2021,Aug,5.5,Grand Junction,2021-08-01,0,0
2021,Sep,4.8,Grand Junction,2021-09-01,0,0
2021,Oct,4.7,Grand Junction,2021-10-01,0,0
2021,Nov,4.3,Grand Junction,2021-11-01,0,0
2021,Dec,4.2,Grand Junction,2021-12-01,0,0
2022,Jan,5,Grand Junction,2022-01-01,0,1
2022,Feb,4.5,Grand Junction,2022-02-01,0,1
2022,Mar,3.8,Grand Junction,2022-03-01,0,1
2022,Apr,3.1,Grand Junction,2022-04-01,0,1
2022,May,3,Grand Junction,2022-05-01,0,1
2022,Jun,3.4,Grand Junction,2022-06-01,0,1
2022,Jul,3.4,Grand Junction,2022-07-01,0,1
2022,Aug,3.1,Grand Junction,2022-08-01,0,1
2022,Sep,2.8,Grand Junction,2022-09-01,0,1
2022,Oct,3,Grand Junction,2022-10-01,0,1
2022,Nov,3.1,Grand Junction,2022-11-01,0,1
2022,Dec,3.1,Grand Junction,2022-12-01,0,1
2023,Jan,3.8,Grand Junction,2023-01-01,0,1
2023,Feb,4,Grand Junction,2023-02-01,0,1
2023,Mar,3.4,Grand Junction,2023-03-01,0,1
2023,Apr,2.9,Grand Junction,2023-04-01,0,1
2023,May,3.2,Grand Junction,2023-05-01,0,1
2023,Jun,4,Grand Junction,2023-06-01,0,1
2023,Jul,3.7,Grand Junction,2023-07-01,0,1
2023,Aug,3.7,Grand Junction,2023-08-01,0,1
2023,Sep,3.3,Grand Junction,2023-09-01,0,1
2023,Oct,3.4,Grand Junction,2023-10-01,0,1
2023,Nov,3.5,Grand Junction,2023-11-01,0,1
2023,Dec,3.9,Grand Junction,2023-12-01,0,1
2024,Jan,4.7,Grand Junction,2024-01-01,0,1
2024,Feb,4.6,Grand Junction,2024-02-01,0,1
2024,Mar,4.1,Grand Junction,2024-03-01,0,1
2024,Apr,3.8,Grand Junction,2024-04-01,0,1
2024,May,4,Grand Junction,2024-05-01,0,1
2024,Jun,4.6,Grand Junction,2024-06-01,0,1
2024,Jul,4.9,Grand Junction,2024-07-01,0,1
2024,Aug,4.6,Grand Junction,2024-08-01,0,1
2024,Sep,4.2,Grand Junction,2024-09-01,0,1
2024,Oct,4.3,Grand Junction,2024-10-01,0,1
2024,Nov,4.7,Grand Junction,2024-11-01,0,1
2024,Dec,4.6,Grand Junction,2024-12-01,0,1
2025,Jan,5.4,Grand Junction,2025-01-01,0,1
2020,Nov,7.6,Houston,2020-11-01,0,0
2020,Dec,7.5,Houston,2020-12-01,0,0
2021,Jan,7.8,Houston,2021-01-01,0,0
2021,Feb,7.5,Houston,2021-02-01,0,0
2021,Mar,7.1,Houston,2021-03-01,0,0
2021,Apr,6.6,Houston,2021-04-01,0,0
2021,May,6.3,Houston,2021-05-01,0,0
2021,Jun,7,Houston,2021-06-01,0,0
2021,Jul,6.5,Houston,2021-07-01,0,0
2021,Aug,6.1,Houston,2021-08-01,0,0
2021,Sep,5.5,Houston,2021-09-01,0,0
2021,Oct,5.1,Houston,2021-10-01,0,0
2021,Nov,4.8,Houston,2021-11-01,0,0
2021,Dec,4.4,Houston,2021-12-01,0,0
2022,Jan,5,Houston,2022-01-01,0,1
2022,Feb,4.7,Houston,2022-02-01,0,1
2022,Mar,4.1,Houston,2022-03-01,0,1
2022,Apr,3.8,Houston,2022-04-01,0,1
2022,May,3.9,Houston,2022-05-01,0,1
2022,Jun,4.5,Houston,2022-06-01,0,1
2022,Jul,4.3,Houston,2022-07-01,0,1
2022,Aug,4.3,Houston,2022-08-01,0,1
2022,Sep,4.1,Houston,2022-09-01,0,1
2022,Oct,4,Houston,2022-10-01,0,1
2022,Nov,4.1,Houston,2022-11-01,0,1
